us_label	class_label
NP	3
TH	1
NF	4
TH	1
NP	3
NP	3
NF	4
NF	4
NF	4
TH	1
NF	4
NP	3
NP	3
NP	3
NF	4
NF	4
NF	4
NF	4
NP	3
TH	1
PEP	2
NP	3
NP	3
NF	4
NP	3
PEP	2
NF	4
NF	4
NP	3
NP	3
NF	4
NP	3
NF	4
PEP	2
NP	3
NF	4
NP	3
TH	1
TH	1
TH	1
NF	4
NP	3
NF	4
NP	3
NP	3
NP	3
NF	4
NF	4
TH	1
NP	3
NP	3
NP	3
NP	3
TH	1
NF	4
PEP	2
NF	4
TH	1
PEP	2
TH	1
PEP	2
TH	1
NF	4
TH	1
NP	3
NP	3
NF	4
NF	4
PEP	2
TH	1
NP	3
PEP	2
NP	3
TH	1
TH	1
NF	4
TH	1
TH	1
TH	1
PEP	2
TH	1
NP	3
NP	3
TH	1
TH	1
NP	3
PEP	2
NF	4
NF	4
TH	1
NF	4
NP	3
NF	4
TH	1
NP	3
NF	4
NP	3
TH	1
NP	3
NF	4
NF	4
TH	1
TH	1
TH	1
NP	3
NP	3
NF	4
NP	3
NP	3
TH	1
NF	4
TH	1
NP	3
NF	4
PEP	2
NF	4
NP	3
PEP	2
NP	3
NF	4
TH	1
NP	3
NF	4
NF	4
TH	1
NF	4
TH	1
NF	4
NP	3
PEP	2
TH	1
NF	4
TH	1
TH	1
NF	4
TH	1
NP	3
PEP	2
TH	1
PEP	2
NF	4
PEP	2
PEP	2
PEP	2
PEP	2
PEP	2
PEP	2
PEP	2
PEP	2
TH	1
NP	3
TH	1
TH	1
TH	1
TH	1
TH	1
NF	4
NF	4
NF	4
NP	3
PEP	2
NF	4
NP	3
NF	4
TH	1
NP	3
NF	4
NP	3
NF	4
NP	3
NP	3
PEP	2
TH	1
PEP	2
PEP	2
PEP	2
NF	4
TH	1
NP	3
NP	3
NF	4
TH	1
PEP	2
TH	1
PEP	2
TH	1
TH	1
TH	1
NF	4
TH	1
PEP	2
PEP	2
NF	4
TH	1
NF	4
TH	1
TH	1
NF	4
PEP	2
TH	1
TH	1
NP	3
PEP	2
TH	1
NP	3
TH	1
NP	3
NP	3
NF	4
NP	3
TH	1
TH	1
NF	4
TH	1
TH	1
TH	1
TH	1
TH	1
NF	4
NP	3
TH	1
NF	4
NP	3
NF	4
NP	3
TH	1
NP	3
PEP	2
NF	4
NP	3
TH	1
NP	3
NP	3
NP	3
NP	3
NP	3
NF	4
TH	1
TH	1
NP	3
TH	1
TH	1
PEP	2
TH	1
PEP	2
NF	4
NF	4
NP	3
TH	1
NP	3
NP	3
TH	1
NP	3
NF	4
TH	1
TH	1
PEP	2
NP	3
TH	1
NP	3
NF	4
NF	4
PEP	2
TH	1
TH	1
NF	4
TH	1
NF	4
TH	1
TH	1
PEP	2
NF	4
PEP	2
TH	1
PEP	2
PEP	2
TH	1
NF	4
NP	3
TH	1
NP	3
PEP	2
PEP	2
PEP	2
PEP	2
TH	1
TH	1
NP	3
NP	3
NP	3
NP	3
NP	3
NP	3
TH	1
NP	3
NF	4
NP	3
TH	1
NP	3
TH	1
TH	1
NP	3
TH	1
NF	4
NF	4
TH	1
NP	3
NF	4
TH	1
NF	4
NP	3
TH	1
TH	1
TH	1
NF	4
NP	3
NF	4
TH	1
NF	4
NP	3
TH	1
NF	4
PEP	2
PEP	2
PEP	2
NP	3
TH	1
TH	1
TH	1
NF	4
TH	1
TH	1
TH	1
NF	4
NF	4
NF	4
NF	4
NF	4
TH	1
